numero;despacho;data
112012017168;9.1;2022-01-18
112012018969;9.1;2022-01-11
112012019199;9.2;2022-01-25
112012019648;9.1;2022-01-18
112012020874;11.2;2022-01-04
112012022935;9.1;2022-01-11
112012023661;9.2;2022-01-18
112012024997;9.1;2022-01-25
112012025092;9.1;2022-01-25
112012027504;9.1;2022-01-25
112012027757;11.2;2022-01-18
112012027783;9.2;2022-01-18
112012028066;9.1;2022-01-11
112012028200;9.1;2022-01-04
112012028524;9.1;2022-01-04
112012029332;9.1;2022-01-25
112012030446;9.1;2022-01-25
112012031727;9.1;2022-01-25
112013001224;9.1;2022-01-18
112013001369;9.1;2022-01-25
112013002948;9.1;2022-01-25
112013003350;9.2;2022-01-11
112013003395;9.1;2022-01-18
112013003437;9.1;2022-01-04
112013003516;9.1;2022-01-25
112013003521;9.1;2022-01-04
112013003650;9.1;2022-01-04
112013003668;9.1;2022-01-18
112013003773;9.1;2022-01-11
112013004389;9.2;2022-01-25
112013004503;9.1;2022-01-11
112013004698;9.1;2022-01-18
112013005108;9.2;2022-01-18
112013006308;9.1;2022-01-25
112013006858;9.1;2022-01-11
112013007389;9.1;2022-01-11
112013007781;9.1;2022-01-11
112013008767;9.1;2022-01-11
112013008949;9.2;2022-01-11
112013009927;9.1;2022-01-25
112013011480;9.1;2022-01-18
112013011514;9.1;2022-01-11
112013013083;9.2;2022-01-11
112013013404;9.1;2022-01-25
112013013458;9.1;2022-01-18
112013014275;9.1;2022-01-11
112013015000;9.2;2022-01-25
112013015107;9.1;2022-01-25
112013015257;9.1;2022-01-11
112013015602;9.1;2022-01-25
112013016192;11.2;2022-01-18
112013016200;9.1;2022-01-25
112013016203;9.2;2022-01-11
112013017311;11.2;2022-01-25
112013017397;9.1;2022-01-25
112013017411;9.1;2022-01-11
112013017960;9.1;2022-01-11
112013018827;9.2;2022-01-18
112013020951;9.1;2022-01-18
112013021741;9.1;2022-01-04
112013021882;11.2;2022-01-04
112013022159;9.1;2022-01-25
112013023006;9.2;2022-01-11
112013023539;9.1;2022-01-11
112013024462;9.1;2022-01-18
112013024965;11.2;2022-01-11
112013024974;11.2;2022-01-11
112013026461;9.1;2022-01-04
112013028365;9.1;2022-01-25
112013029040;9.1;2022-01-18
112013029335;9.2;2022-01-18
112013030199;9.2;2022-01-04
112013030298;9.2;2022-01-25
112013030490;9.1;2022-01-04
112013030880;9.1;2022-01-25
112013031402;9.2;2022-01-18
112013031712;9.1;2022-01-18
112013031814;9.1;2022-01-04
112013032178;9.2;2022-01-18
112013033592;9.2;2022-01-25
112013033799;9.2;2022-01-25
112013034054;9.2;2022-01-18
112014001313;9.2;2022-01-18
112014001642;9.1;2022-01-11
112014001748;9.1;2022-01-04
112014003037;9.1;2022-01-25
112014003246;9.2;2022-01-18
112014003382;9.1;2022-01-04
112014003481;9.1;2022-01-04
112014003906;9.1;2022-01-11
112014004310;9.1;2022-01-11
112014004504;9.1;2022-01-18
112014004653;9.1;2022-01-25
112014004830;9.1;2022-01-25
112014005044;11.2;2022-01-25
112014005174;9.1;2022-01-25
112014005235;9.1;2022-01-11
112014005403;9.2;2022-01-25
112014005887;9.1;2022-01-18
112014006271;9.1;2022-01-25
112014007491;9.1;2022-01-04
112014007594;9.1;2022-01-11
112014007765;9.1;2022-01-25
112014008152;11.2;2022-01-25
112014008167;9.1;2022-01-04
112014008249;9.1;2022-01-04
112014008983;9.2;2022-01-25
112014011746;9.1;2022-01-18
112014012170;9.2;2022-01-04
112014012533;9.2;2022-01-11
112014012795;9.1;2022-01-25
112014012963;9.1;2022-01-25
112014013039;9.1;2022-01-11
112014013694;11.2;2022-01-04
112014013737;9.1;2022-01-04
112014014095;9.2;2022-01-25
112014014574;9.1;2022-01-04
112014014973;9.2;2022-01-25
112014015224;9.1;2022-01-11
112014015694;9.1;2022-01-25
112014016106;9.1;2022-01-11
112014016380;9.1;2022-01-04
112014016472;9.1;2022-01-04
112014016602;9.1;2022-01-18
112014016768;9.1;2022-01-18
112014016840;9.1;2022-01-25
112014016877;9.1;2022-01-04
112014017196;9.2;2022-01-18
112014017229;9.1;2022-01-11
112014018184;9.1;2022-01-25
112014018192;11.2;2022-01-11
112014018864;9.1;2022-01-11
112014019304;9.2;2022-01-11
112014019462;9.1;2022-01-25
112014019597;9.1;2022-01-04
112014019627;9.2;2022-01-04
112014019836;9.1;2022-01-04
112014019924;9.1;2022-01-04
112014020328;9.2;2022-01-18
112014021054;9.1;2022-01-25
112014021124;9.1;2022-01-18
112014021218;9.2;2022-01-18
112014021388;9.2;2022-01-11
112014021440;9.2;2022-01-18
112014021645;9.1;2022-01-25
112014021664;9.2;2022-01-11
112014022234;9.2;2022-01-04
112014022298;9.1;2022-01-04
112014022624;11.2;2022-01-18
112014022726;9.1;2022-01-11
112014022863;9.1;2022-01-18
112014022919;9.1;2022-01-25
112014023264;9.2;2022-01-04
112014023332;11.2;2022-01-11
112014023442;9.2;2022-01-18
112014023970;11.2;2022-01-18
112014023990;9.2;2022-01-25
112014024553;9.1;2022-01-04
112014024870;9.2;2022-01-25
